HugoSymbol,Dist,Low,High
SPANXA1,skew,0.3814056864627567,0.3814056864627567
ZNF335,normal,2.0525538198611377,4.4253195893850386
ZNF560,skew,0.32069824073405556,0.32069824073405556
TUBA3C,skew,0.3749788954655854,0.3749788954655854
RPS4X,normal,9.015237686787305,11.799871657642154
ZNF273,normal,0.7903092454099316,4.062962682259997
ZNF84,normal,1.8976737857138413,5.278882354868919
MAK16,normal,2.3368150814950974,5.345902891656435
ZNF667,skew,0.9702360696150335,0.9702360696150335
AVPR1B,skew,0.05091976872999744,0.05091976872999744
SIRPA,bimodal,1.6130368462137037,1.6130368462137037
GRK6,normal,3.2423600358690647,6.484406141584334
PRIM1,normal,2.773284863393153,6.736993581546239
MARCHF5,normal,3.206559510920842,5.915318111170778
POTEH,skew,0.08203288812953327,0.08203288812953327
NPIPB13,normal,-0.11486478709021108,2.377685233541145
AKR1B10,skew,1.9416340732336597,1.9416340732336597
SULT1C4,skew,0.2995106610907926,0.2995106610907926
CYP2A7,skew,0.0384655090890923,0.0384655090890923
ZBTB14,normal,1.7981023163012668,4.066953973799183
KRTAP9-9,skew,0.002555267723399323,0.002555267723399323
CD2AP,normal,2.385158505910808,5.874051060218945
NUP62CL,bimodal,1.0034534740481533,1.0034534740481533
SFI1,normal,1.6728797442537595,5.820293769962381
KRTAP4-6,skew,0.01755870186986946,0.01755870186986946
TMPRSS11F,skew,0.06711758247804354,0.06711758247804354
ZNF649,bimodal,0.636985136576913,0.636985136576913
ADH4,skew,0.05149643947988625,0.05149643947988625
OR2T6,skew,0.0008631004855866639,0.0008631004855866639
ZNF248,normal,1.2109561197039047,3.951657842423187
CHSY3,skew,0.6404907297719833,0.6404907297719833
TOR4A,bimodal,2.052482665424766,2.052482665424766
LPAR1,bimodal,1.8331764541552202,1.8331764541552202
MB,skew,1.4231269365642492,1.4231269365642492
OR2L3,skew,0.0064995783197268125,0.0064995783197268125
DEFB107B,skew,0.00195161675888958,0.00195161675888958
HIBCH,normal,2.472274513692281,5.133875171405531
ZNF544,bimodal,1.3018131310938375,1.3018131310938375
TMEM229B,skew,1.0521561882434676,1.0521561882434676
SOWAHC,bimodal,0.8140310450109525,0.8140310450109525
ZNF770,normal,2.1967437543707904,5.246711762287211
NPIPB6,skew,0.6283040386318367,0.6283040386318367
HMGN5,bimodal,0.7608150957011559,0.7608150957011559
MIER1,normal,2.4499347161375584,4.910339979376106
MAN1A2,normal,2.0681625320187518,4.9678944552497555
SVIP,bimodal,1.0037845726619752,1.0037845726619752
ZNF251,normal,1.9335053086179181,4.837822022343006
DDRGK1,normal,3.9214168923947863,7.236035145516192
FAM47C,skew,0.004054406476883658,0.004054406476883658
TFDP1,normal,4.4888655662107,8.08227470932973
CLEC4C,skew,0.018065113455447056,0.018065113455447056
ZNF607,bimodal,0.6038609276714837,0.6038609276714837
BPIFA1,skew,0.0617262788786686,0.0617262788786686
ZNF334,skew,0.8209952923794456,0.8209952923794456
